name,type,source,producers,genre,studio,episodes,status,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,duration_in_minutes,log_scored_by,log_members,log_favorites,season,year,only_year,weekday,time,time_in_minutes
Onegai My Melody,TV,Unknown,TV Osaka,Comedy,Studio Comet,52.0,Finished Airing,2005-04-03,2006-03-02,24 min per ep,PG - Children,7.14,1460,3128,5224,5067,40,Spring 2005,Sundays at 09:30 (JST),24.0,7.2868764117507,8.53070154144103,3.713572066704308,Spring,2005-01-01,2005,Sundays,09:30:00,570.0
Chance Triangle Session,TV,Radio,Avex Entertainment,Slice of Life,Madhouse,13.0,Finished Airing,2001-05-21,2001-08-02,24 min per ep,PG-13 - Teens 13 or older,6.68,1298,4957,5877,3798,13,Spring 2001,Unknown,24.0,7.1693500166706,8.242493153187626,2.639057329615259,Spring,2001-01-01,2001,Unknown,,
Papuwa,TV,Manga,Sotsu,Adventure,Nippon Animation,26.0,Finished Airing,2003-09-30,2004-03-03,25 min per ep,R+ - Mild Nudity,6.96,321,3813,8466,1194,13,Fall 2003,Tuesdays at 18:00 (JST),25.0,5.7745515455444085,7.085901464365611,2.639057329615259,Fall,2003-01-01,2003,Tuesdays,18:00:00,1080.0
Genshiken 2,TV,Manga,Genco,Comedy,Arms,12.0,Finished Airing,2007-10-10,2007-12-02,24 min per ep,R - 17+ (violence & profanity),7.82,36182,861,1402,64861,193,Fall 2007,Unknown,24.0,10.496344674251352,11.080017215031907,5.267858159063328,Fall,2007-01-01,2007,Unknown,,
Sengoku Majin Goushougun,TV,Original,TV Tokyo,Action,Production Reed,26.0,Finished Airing,1981-07-03,1981-12-02,24 min per ep,PG-13 - Teens 13 or older,6.79,299,4487,8067,1430,0,Summer 1981,Unknown,24.0,5.703782474656201,7.266128779556451,0.0,Summer,1981-01-01,1981,Unknown,,
Masuda Kousuke Gekijou Gag Manga Biyori 2,TV,Manga,Bandai Visual,Comedy,Artland,12.0,Finished Airing,2006-08-05,2006-10-02,5 min per ep,PG-13 - Teens 13 or older,7.39,961,2110,7007,2343,2,Summer 2006,Unknown,5.0,6.8690144506657065,7.759614150696903,1.0986122886681096,Summer,2006-01-01,2006,Unknown,,
Lady Georgie,TV,Manga,TV Asahi,Drama,Tokyo Movie Shinsha,45.0,Finished Airing,1983-04-09,1984-02-02,24 min per ep,PG-13 - Teens 13 or older,7.26,2574,2627,4942,5871,45,Spring 1983,Saturdays at 19:00 (JST),24.0,7.853604813097837,8.677950570294351,3.828641396489095,Spring,1983-01-01,1983,Saturdays,19:00:00,1140.0
Robin Hood no Daibouken,TV,Unknown,NHK,Adventure,Tatsunoko Production,52.0,Finished Airing,1990-07-29,1992-10-02,25 min per ep,G - All Ages,7.22,2619,2797,5171,5200,18,Summer 1990,Unknown,25.0,7.8709295967551425,8.556606193773073,2.9444389791664403,Summer,1990-01-01,1990,Unknown,,
Perrine Monogatari,TV,Novel,Bandai Visual,Slice of Life,Nippon Animation,53.0,Finished Airing,1978-01-01,1978-12-03,25 min per ep,G - All Ages,7.6,618,1373,6595,2821,12,Winter 1978,Sundays at 19:30 (JST),25.0,6.428105272684596,7.945201132412759,2.5649493574615367,Winter,1978-01-01,1978,Sundays,19:30:00,1170.0
Tetsuko no Tabi,TV,Manga,Shogakukan Productions,Comedy,Group TAC,13.0,Finished Airing,2007-06-24,2007-09-02,24 min per ep,PG-13 - Teens 13 or older,6.5,302,5814,7716,1686,6,Summer 2007,Unknown,24.0,5.713732805509369,7.430707082545968,1.9459101490553132,Summer,2007-01-01,2007,Unknown,,
