name,type,source,producers,genre,studio,episodes,status,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,duration_in_minutes,log_scored_by,log_members,log_favorites,season,year,only_year,weekday,time,time_in_minutes
Cowboy Bebop,TV,Original,Bandai Visual,Action,Sunrise,26.0,Finished Airing,1998-04-03,1999-04-02,24 min per ep,R - 17+ (violence & profanity),8.81,405664,26,39,795733,43460,Spring 1998,Saturdays at 01:00 (JST),24.0,12.91328297482968,13.587020238124726,10.679619263209762,Spring,1998-01-01,1998,Saturdays,01:00:00,60.0
Trigun,TV,Manga,Victor Entertainment,Action,Madhouse,26.0,Finished Airing,1998-04-01,1998-09-03,24 min per ep,PG-13 - Teens 13 or older,8.3,212537,255,146,408548,10432,Spring 1998,Thursdays at 01:15 (JST),24.0,12.266876074888998,12.920367137129036,9.25272913846797,Spring,1998-01-01,1998,Thursdays,01:15:00,75.0
Witch Hunter Robin,TV,Original,Bandai Visual,Action,Sunrise,26.0,Finished Airing,2002-07-02,2002-12-02,25 min per ep,PG-13 - Teens 13 or older,7.33,32837,2371,1171,79397,537,Summer 2002,Tuesdays at Unknown,25.0,10.399341660371974,11.282228458001104,6.2878585601617845,Summer,2002-01-01,2002,Tuesdays,,
Bouken Ou Beet,TV,Manga,TV Tokyo,Adventure,Toei Animation,52.0,Finished Airing,2004-09-30,2005-09-02,23 min per ep,PG - Children,7.03,4894,3544,3704,11708,14,Fall 2004,Thursdays at 18:30 (JST),23.0,8.49596955496461,9.368113055848724,2.70805020110221,Fall,2004-01-01,2004,Thursdays,18:30:00,1110.0
Hachimitsu to Clover,TV,Manga,Genco,Comedy,J.C.Staff,24.0,Finished Airing,2005-04-15,2005-09-02,23 min per ep,PG-13 - Teens 13 or older,8.12,57065,419,536,172274,3752,Spring 2005,Fridays at 00:35 (JST),23.0,10.95196377171044,12.056847316225408,8.23031079913502,Spring,2005-01-01,2005,Fridays,00:35:00,35.0
Initial D Fourth Stage,TV,Manga,OB Planning,Action,A.C.G.T.,24.0,Finished Airing,2004-04-17,2006-02-01,27 min per ep,PG-13 - Teens 13 or older,8.23,42555,298,1262,73438,635,Spring 2004,Unknown,27.0,10.658576134636256,11.204210408643931,6.455198563340122,Spring,2004-01-01,2004,Unknown,,
Monster,TV,Manga,VAP,Drama,Madhouse,74.0,Finished Airing,2004-04-07,2005-09-02,24 min per ep,R+ - Mild Nudity,8.69,131233,49,156,394387,19188,Spring 2004,Wednesdays at 00:40 (JST),24.0,11.784737268260976,12.88509047528425,9.862092477169742,Spring,2004-01-01,2004,Wednesdays,00:40:00,40.0
Tennis no Ouji-sama,TV,Manga,Production I.G,Action,Trans Arts,178.0,Finished Airing,2001-10-10,2005-03-02,22 min per ep,PG-13 - Teens 13 or older,8.0,50306,577,856,113662,2885,Fall 2001,Unknown,22.0,10.82589951141522,11.640993209012725,7.9676267393338165,Fall,2001-01-01,2001,Unknown,,
Sunabouzu,TV,Manga,GDH,Action,Gonzo,24.0,Finished Airing,2004-10-06,2005-03-03,24 min per ep,R - 17+ (violence & profanity),7.5,36185,1679,1049,89817,673,Fall 2004,Unknown,24.0,10.496427582679042,11.405540679638088,6.513230110912307,Fall,2004-01-01,2004,Unknown,,
Texhnolyze,TV,Original,Group TAC,Action,Madhouse,22.0,Finished Airing,2003-04-17,2003-09-02,23 min per ep,R+ - Mild Nudity,7.78,32198,942,690,138500,2864,Spring 2003,Thursdays at 03:28 (JST),23.0,10.379690675149634,11.83863282480007,7.96032362914884,Spring,2003-01-01,2003,Thursdays,03:28:00,208.0
Yakitate!! Japan,TV,Manga,TV Tokyo,Comedy,Sunrise,69.0,Finished Airing,2004-10-12,2006-03-01,24 min per ep,PG-13 - Teens 13 or older,8.01,27616,566,1388,65862,785,Fall 2004,Unknown,24.0,10.226186804119793,11.095332106062079,6.666956792429207,Fall,2004-01-01,2004,Unknown,,
Neon Genesis Evangelion,TV,Original,TV Tokyo,Action,Gainax,26.0,Finished Airing,1995-10-04,1996-03-02,24 min per ep,PG-13 - Teens 13 or older,8.33,402215,215,50,715531,45828,Fall 1995,Wednesdays at 18:30 (JST),24.0,12.904744536732819,13.480781600947807,10.732672357496405,Fall,1995-01-01,1995,Wednesdays,18:30:00,1110.0
.hack//Sign,TV,Original,Bandai Visual,Game,Bee Train,26.0,Finished Airing,2002-04-04,2002-09-02,24 min per ep,PG-13 - Teens 13 or older,7.08,63557,3341,704,135481,1229,Spring 2002,Thursdays at Unknown,24.0,11.059708153824552,11.81659406914929,7.114769448366463,Spring,2002-01-01,2002,Thursdays,,
Ai Yori Aoshi,TV,Manga,Movic,Harem,J.C.Staff,24.0,Finished Airing,2002-04-11,2002-09-02,23 min per ep,PG-13 - Teens 13 or older,7.2,40592,2844,1139,81572,415,Spring 2002,Unknown,23.0,10.611350916931753,11.309253603845614,6.030685260261263,Spring,2002-01-01,2002,Unknown,,
Arc the Lad,TV,Game,Sony Pictures Entertainment,Action,Bee Train,26.0,Finished Airing,1999-04-05,1999-09-01,22 min per ep,R - 17+ (violence & profanity),6.59,4474,5373,3623,12444,16,Spring 1999,Mondays at 19:00 (JST),22.0,8.406261630708956,9.429074214801693,2.833213344056216,Spring,1999-01-01,1999,Mondays,19:00:00,1140.0
Avenger,TV,Original,Production I.G,Adventure,Bee Train,13.0,Finished Airing,2003-10-02,2003-12-02,24 min per ep,R - 17+ (violence & profanity),5.96,5451,7805,3427,14237,19,Fall 2003,Unknown,24.0,8.603737792816423,9.563669725663818,2.995732273553991,Fall,2003-01-01,2003,Unknown,,
Beck,TV,Manga,Marvelous,Comedy,Madhouse,26.0,Finished Airing,2004-10-07,2005-03-03,25 min per ep,R - 17+ (violence & profanity),8.36,91614,197,448,198237,6022,Fall 2004,Thursdays at 01:30 (JST),25.0,11.425350292714276,12.197223608030802,8.70334075304372,Fall,2004-01-01,2004,Thursdays,01:30:00,90.0
Blue Gender,TV,Original,Youmex,Adventure,AIC,26.0,Finished Airing,1999-10-08,2000-03-03,23 min per ep,R+ - Mild Nudity,7.11,21542,3232,1586,54058,360,Fall 1999,Thursdays at 01:55 (JST),23.0,9.977806216778427,10.897831321694126,5.8888779583328805,Fall,1999-01-01,1999,Thursdays,01:55:00,115.0
Chobits,TV,Manga,TBS,Sci-Fi,Madhouse,26.0,Finished Airing,2002-04-03,2002-09-02,24 min per ep,PG-13 - Teens 13 or older,7.51,182381,1629,211,334276,3418,Spring 2002,Wednesdays at 02:20 (JST),24.0,12.113858667542235,12.719725269562716,8.137103389639302,Spring,2002-01-01,2002,Wednesdays,02:20:00,140.0
Chrno Crusade,TV,Manga,Lantis,Action,Gonzo,24.0,Finished Airing,2003-11-25,2004-06-01,23 min per ep,R - 17+ (violence & profanity),7.75,81366,985,530,172946,1946,Fall 2003,Tuesdays at 02:28 (JST),23.0,11.306725064386239,12.060740468161097,7.5740450053721995,Fall,2003-01-01,2003,Tuesdays,02:28:00,148.0
D.N.Angel,TV,Manga,Kadokawa Shoten,Action,Xebec,26.0,Finished Airing,2003-04-03,2003-09-02,23 min per ep,PG-13 - Teens 13 or older,7.3,78088,2456,637,148256,1448,Spring 2003,Unknown,23.0,11.265604480837757,11.906702533283202,7.278628942320682,Spring,2003-01-01,2003,Unknown,,
D.C.: Da Capo,TV,Visual novel,Lantis,Harem,feel.,26.0,Finished Airing,2003-07-05,2003-12-02,24 min per ep,PG-13 - Teens 13 or older,6.86,24731,4164,1485,59502,183,Summer 2003,Saturdays at Unknown,24.0,10.115853230678459,10.993782010430735,5.214935757608986,Summer,2003-01-01,2003,Saturdays,,
DearS,TV,Manga,Bandai Visual,Sci-Fi,Daume,12.0,Finished Airing,2004-07-11,2004-09-02,23 min per ep,R+ - Mild Nudity,6.73,61303,4750,882,110662,362,Summer 2004,Sundays at Unknown,23.0,11.02360037265024,11.6142448261515,5.8944028342648505,Summer,2004-01-01,2004,Sundays,,
Rozen Maiden,TV,Manga,Mellow Head,Action,Nomad,12.0,Finished Airing,2004-10-08,2004-12-02,24 min per ep,PG-13 - Teens 13 or older,7.52,76580,1617,610,154546,1929,Fall 2004,Fridays at 01:55 (JST),24.0,11.246104283185776,11.948253536178074,7.5652752818989315,Fall,2004-01-01,2004,Fridays,01:55:00,115.0
Rozen Maiden: Träumend,TV,Manga,Mellow Head,Action,Nomad,12.0,Finished Airing,2005-10-21,2006-01-02,24 min per ep,PG-13 - Teens 13 or older,7.73,48438,1053,1104,84149,481,Fall 2005,Fridays at 01:55 (JST),24.0,10.788060553358148,11.340356199618952,6.1779441140506,Fall,2005-01-01,2005,Fridays,01:55:00,115.0
Basilisk: Kouga Ninpou Chou,TV,Manga,GDH,Action,Gonzo,24.0,Finished Airing,2005-04-13,2005-09-02,24 min per ep,R - 17+ (violence & profanity),7.64,57199,1249,722,132611,1345,Spring 2005,Unknown,24.0,10.95430917736789,11.795182850376783,7.204892510204673,Spring,2005-01-01,2005,Unknown,,
Cluster Edge,TV,Original,Bandai Visual,Action,Sunrise,25.0,Finished Airing,2005-10-05,2006-03-02,24 min per ep,PG-13 - Teens 13 or older,6.44,2241,6013,4332,8136,13,Fall 2005,Wednesdays at 01:00 (JST),24.0,7.715123603632105,9.004176840696656,2.639057329615259,Fall,2005-01-01,2005,Wednesdays,01:00:00,60.0
Full Metal Panic!,TV,Light novel,Kadokawa Shoten,Action,Gonzo,24.0,Finished Airing,2002-01-08,2002-06-01,24 min per ep,R - 17+ (violence & profanity),7.74,177049,1013,203,340901,4032,Winter 2002,Tuesdays at 18:30 (JST),24.0,12.08418745754005,12.7393503249319,8.302265794873367,Winter,2002-01-01,2002,Tuesdays,18:30:00,1110.0
Full Metal Panic? Fumoffu,TV,Light novel,Tatsunoko Production,Action,Kyoto Animation,12.0,Finished Airing,2003-08-26,2003-10-01,24 min per ep,PG-13 - Teens 13 or older,8.14,133639,385,399,215819,2743,Summer 2003,Unknown,24.0,11.802904896470693,12.282200005917725,7.917171988845776,Summer,2003-01-01,2003,Unknown,,
Full Metal Panic! The Second Raid,TV,Light novel,Kadokawa Shoten,Action,Kyoto Animation,13.0,Finished Airing,2005-07-14,2005-10-02,24 min per ep,R - 17+ (violence & profanity),8.02,115427,536,456,195923,1287,Summer 2005,Unknown,24.0,11.656402237940616,12.185482107914165,7.160845906664299,Summer,2005-01-01,2005,Unknown,,
Soukyuu no Fafner: Dead Aggressor,TV,Original,TV Tokyo Music,Action,Xebec,25.0,Finished Airing,2004-07-05,2004-12-02,24 min per ep,PG-13 - Teens 13 or older,7.35,10912,2286,2124,34454,232,Summer 2004,Unknown,24.0,9.29771001811309,10.447409403791308,5.4510384535657,Summer,2004-01-01,2004,Unknown,,
Mahou Shoujo Lyrical Nanoha,TV,Original,Starchild Records,Action,Seven Arcs,13.0,Finished Airing,2004-10-03,2004-12-02,25 min per ep,PG-13 - Teens 13 or older,7.48,32683,1741,1209,77124,967,Fall 2004,Unknown,25.0,10.394640940504598,11.25318276120769,6.875232087276577,Fall,2004-01-01,2004,Unknown,,
Mahou Shoujo Lyrical Nanoha A's,TV,Original,Starchild Records,Action,Seven Arcs,13.0,Finished Airing,2005-10-02,2005-12-02,25 min per ep,PG-13 - Teens 13 or older,8.05,26706,499,1672,49952,952,Fall 2005,Unknown,25.0,10.192680982311837,10.818837842333226,6.859614903654202,Fall,2005-01-01,2005,Unknown,,
Mobile Suit Gundam,TV,Original,Sotsu,Action,Sunrise,43.0,Finished Airing,1979-04-07,1980-01-02,25 min per ep,PG-13 - Teens 13 or older,7.85,31375,804,1270,72598,1438,Spring 1979,Saturdays at 17:30 (JST),25.0,10.353798548436128,11.19270642661334,7.271703706887368,Spring,1979-01-01,1979,Saturdays,17:30:00,1050.0
Mobile Suit Zeta Gundam,TV,Original,Sotsu,Military,Sunrise,50.0,Finished Airing,1985-03-02,1986-02-02,24 min per ep,PG-13 - Teens 13 or older,7.99,20063,586,1923,40759,1292,Spring 1985,Unknown,24.0,9.906682443432647,10.615456487336662,7.164720378771857,Spring,1985-01-01,1985,Unknown,,
Mobile Suit Gundam ZZ,TV,Original,Sotsu,Space,Sunrise,47.0,Finished Airing,1986-03-01,1987-01-03,24 min per ep,PG-13 - Teens 13 or older,6.73,11017,4768,2642,23757,80,Spring 1986,Saturdays at 17:30 (JST),24.0,9.307285578032662,10.075674594849485,4.394449154672439,Spring,1986-01-01,1986,Saturdays,17:30:00,1050.0
Mobile Suit Victory Gundam,TV,Original,TV Asahi,Military,Sunrise,51.0,Finished Airing,1993-04-02,1994-03-02,24 min per ep,PG-13 - Teens 13 or older,6.85,6156,4214,3167,16608,82,Spring 1993,Fridays at 17:00 (JST),24.0,8.72534492491121,9.717699996098998,4.418840607796598,Spring,1993-01-01,1993,Fridays,17:00:00,1020.0
Mobile Suit Gundam Wing,TV,Original,TV Asahi,Action,Sunrise,49.0,Finished Airing,1995-04-07,1996-03-02,24 min per ep,PG-13 - Teens 13 or older,7.82,62406,867,909,108562,2278,Spring 1995,Fridays at 17:00 (JST),24.0,11.041432727553051,11.595085928614767,7.731492029245684,Spring,1995-01-01,1995,Fridays,17:00:00,1020.0
After War Gundam X,TV,Original,TV Asahi,Sci-Fi,Sunrise,39.0,Finished Airing,1996-04-05,1996-12-02,24 min per ep,PG-13 - Teens 13 or older,7.36,10345,2219,2637,23787,164,Spring 1996,Fridays at 17:00 (JST),24.0,9.24435525056346,10.076936530826485,5.10594547390058,Spring,1996-01-01,1996,Fridays,17:00:00,1020.0
Turn A Gundam,TV,Original,Sotsu,Action,Sunrise,50.0,Finished Airing,1999-04-09,2000-04-01,24 min per ep,PG-13 - Teens 13 or older,7.73,9204,1058,2420,27476,547,Spring 1999,Fridays at 17:00 (JST),24.0,9.127502093667179,10.221104570071097,6.306275286948016,Spring,1999-01-01,1999,Fridays,17:00:00,1020.0
Mobile Fighter G Gundam,TV,Original,TV Asahi,Sci-Fi,Sunrise,49.0,Finished Airing,1994-04-01,1995-03-03,24 min per ep,PG-13 - Teens 13 or older,7.6,25027,1367,1778,45765,757,Spring 1994,Fridays at 17:00 (JST),24.0,10.127750477118255,10.73129673633947,6.630683385642372,Spring,1994-01-01,1994,Fridays,17:00:00,1020.0
Last Exile,TV,Original,GDH,Action,Gonzo,26.0,Finished Airing,2003-04-08,2003-09-03,24 min per ep,PG-13 - Teens 13 or older,7.89,55389,722,743,129036,1709,Spring 2003,Tuesdays at 01:30 (JST),24.0,10.92215435102715,11.767854463923754,7.444248649496705,Spring,2003-01-01,2003,Tuesdays,01:30:00,90.0
Mai-HiME,TV,Original,Bandai Visual,Action,Sunrise,26.0,Finished Airing,2004-09-30,2005-03-03,23 min per ep,PG-13 - Teens 13 or older,7.53,42321,1580,1050,89769,1216,Fall 2004,Fridays at 01:30 (JST),23.0,10.653062324394718,11.405006122750734,7.104144092987527,Fall,2004-01-01,2004,Fridays,01:30:00,90.0
Mai-Otome,TV,Original,Bandai Visual,Comedy,Sunrise,26.0,Finished Airing,2005-10-07,2006-03-03,24 min per ep,PG-13 - Teens 13 or older,7.36,21354,2242,1904,41658,322,Fall 2005,Fridays at 01:30 (JST),24.0,9.969041183275566,10.637272710686252,5.777652323222656,Fall,2005-01-01,2005,Fridays,01:30:00,90.0
Air,TV,Visual novel,Pony Canyon,Slice of Life,Kyoto Animation,12.0,Finished Airing,2005-01-07,2005-03-02,24 min per ep,PG-13 - Teens 13 or older,7.41,120702,1994,381,224570,2584,Winter 2005,Fridays at 00:30 (JST),24.0,11.70108826178917,12.321947194517207,7.85748078694253,Winter,2005-01-01,2005,Fridays,00:30:00,30.0
Akazukin Chacha,TV,Manga,Nihon Ad Systems,Adventure,Studio Gallop,74.0,Finished Airing,1994-01-07,1995-06-03,24 min per ep,G - All Ages,7.46,3269,1797,4019,9766,75,Winter 1994,Fridays at 18:00 (JST),24.0,8.0925452638913,9.186764635447478,4.330733340286331,Winter,1994-01-01,1994,Fridays,18:00:00,1080.0
Ayashi no Ceres,TV,Manga,Bandai Visual,Adventure,Studio Pierrot,24.0,Finished Airing,2000-04-20,2000-09-02,21 min per ep,R - 17+ (violence & profanity),7.33,21170,2335,1775,45839,501,Spring 2000,Thursdays at 18:30 (JST),21.0,9.96038759966894,10.732912351388622,6.218600119691729,Spring,2000-01-01,2000,Thursdays,18:30:00,1110.0
Ou Dorobou Jing,TV,Manga,Aniplex,Adventure,Studio Deen,13.0,Finished Airing,2002-05-15,2002-08-01,24 min per ep,PG-13 - Teens 13 or older,7.31,11279,2441,2375,28628,196,Spring 2002,Unknown,24.0,9.33078652505205,10.262175469085363,5.2832037287379885,Spring,2002-01-01,2002,Unknown,,
Bakuretsu Tenshi,TV,Original,GDH,Adventure,Gonzo,24.0,Finished Airing,2004-04-07,2004-09-01,23 min per ep,PG-13 - Teens 13 or older,6.89,24602,4047,1542,55927,251,Spring 2004,Tuesdays at 02:12 (JST),23.0,10.110623665704521,10.931820428191822,5.529429087511423,Spring,2004-01-01,2004,Tuesdays,02:12:00,132.0
Uchuu no Stellvia,TV,Original,Starchild Records,Action,Xebec,26.0,Finished Airing,2003-04-03,2003-09-02,23 min per ep,PG-13 - Teens 13 or older,7.44,7477,1895,3017,18413,114,Spring 2003,Thursdays at 01:00 (JST),23.0,8.91972065553706,9.82086652384779,4.74493212836325,Spring,2003-01-01,2003,Thursdays,01:00:00,60.0
Sakigake!! Cromartie Koukou,TV,Manga,TV Tokyo Music,Comedy,Production I.G,26.0,Finished Airing,2003-10-03,2004-03-02,12 min per ep,PG-13 - Teens 13 or older,7.99,36280,587,1039,91122,1372,Fall 2003,Fridays at Unknown,12.0,10.499049467245019,11.419965521196302,7.224753405767971,Fall,2003-01-01,2003,Fridays,,
El Hazard: The Alternative World,TV,Original,Pioneer LDC,Adventure,AIC,13.0,Finished Airing,1998-01-08,1998-03-02,25 min per ep,PG-13 - Teens 13 or older,6.9,3851,4011,4253,8442,9,Winter 1998,Thursdays at 01:15 (JST),25.0,8.256347772918016,9.0410929746695,2.302585092994046,Winter,1998-01-01,1998,Thursdays,01:15:00,75.0
El Hazard: The Wanderers,TV,Original,TV Tokyo,Adventure,AIC,26.0,Finished Airing,1995-10-06,1996-03-02,23 min per ep,PG-13 - Teens 13 or older,7.04,5131,3509,3674,11996,33,Fall 1995,Fridays at 18:30 (JST),23.0,8.543250725735527,9.392411897514927,3.5263605246161616,Fall,1995-01-01,1995,Fridays,18:30:00,1110.0
Final Approach,TV,Visual novel,Trinet Entertainment,Comedy,Zexcs,13.0,Finished Airing,2004-10-03,2004-12-02,14 min per ep,PG-13 - Teens 13 or older,6.63,14922,5212,2362,28858,45,Fall 2004,Unknown,14.0,9.610658925931467,10.270177181692885,3.828641396489095,Fall,2004-01-01,2004,Unknown,,
Fruits Basket,TV,Manga,TV Tokyo,Slice of Life,Studio Deen,26.0,Finished Airing,2001-07-05,2001-12-02,24 min per ep,PG-13 - Teens 13 or older,7.77,175617,951,244,310675,7892,Summer 2001,Thursdays at 18:00 (JST),24.0,12.076066460624565,12.646505847466795,8.973731569708402,Summer,2001-01-01,2001,Thursdays,18:00:00,1080.0
Full Moon wo Sagashite,TV,Manga,Nihon Ad Systems,Music,Studio Deen,52.0,Finished Airing,2002-04-06,2003-03-02,24 min per ep,PG-13 - Teens 13 or older,8.04,32470,508,1241,74904,1628,Spring 2002,Saturdays at 07:30 (JST),24.0,10.388102662282032,11.223975922951482,7.395721608602045,Spring,2002-01-01,2002,Saturdays,07:30:00,450.0
Fushigi Yuugi,TV,Manga,TV Tokyo,Adventure,Studio Pierrot,52.0,Finished Airing,1995-04-06,1996-03-02,23 min per ep,PG-13 - Teens 13 or older,7.75,35246,989,1197,77831,2027,Spring 1995,Thursdays at 18:00 (JST),23.0,10.470135698235682,11.262307936655263,7.614805364711073,Spring,1995-01-01,1995,Thursdays,18:00:00,1080.0
Futakoi,TV,Original,Lantis,Comedy,Telecom Animation Film,13.0,Finished Airing,2004-10-06,2004-12-02,24 min per ep,PG-13 - Teens 13 or older,6.57,13132,5480,2389,28139,19,Fall 2004,Unknown,24.0,9.48288342558516,10.24494733066838,2.995732273553991,Fall,2004-01-01,2004,Unknown,,
Futakoi Alternative,TV,Original,Lantis,Comedy,ufotable,13.0,Finished Airing,2005-04-07,2005-06-03,24 min per ep,PG-13 - Teens 13 or older,6.98,9636,3729,2520,25668,64,Spring 2005,Unknown,24.0,9.173365135851288,10.15303931712664,4.174387269895637,Spring,2005-01-01,2005,Unknown,,
Gate Keepers,TV,Game,Media Factory,Action,Gonzo,24.0,Finished Airing,2000-04-03,2000-09-01,25 min per ep,PG-13 - Teens 13 or older,7.04,7175,3511,3125,17132,55,Spring 2000,Unknown,25.0,8.878497403738631,9.748761707332973,4.02535169073515,Spring,2000-01-01,2000,Unknown,,
Gensoumaden Saiyuuki,TV,Manga,TV Tokyo,Adventure,Studio Pierrot,50.0,Finished Airing,2000-04-04,2001-03-02,23 min per ep,R - 17+ (violence & profanity),7.67,15344,1183,1943,40022,772,Spring 2000,Tuesdays at 18:30 (JST),23.0,9.638544967053836,10.597209567846916,6.650279048587422,Spring,2000-01-01,2000,Tuesdays,18:30:00,1110.0
GetBackers,TV,Manga,TBS,Action,Studio Deen,49.0,Finished Airing,2002-10-05,2003-09-02,24 min per ep,PG-13 - Teens 13 or older,7.68,38643,1152,1043,90279,847,Fall 2002,Saturdays at 17:30 (JST),24.0,10.5621468026374,11.410671230931472,6.742880635791903,Fall,2002-01-01,2002,Saturdays,17:30:00,1050.0
Green Green,TV,Visual novel,Pony Canyon,Comedy,Studio Matrix,12.0,Finished Airing,2003-07-12,2003-09-02,24 min per ep,R+ - Mild Nudity,6.34,55059,6465,1001,95049,250,Summer 2003,Unknown,24.0,10.9161787786966,11.462158347916576,5.5254529391317835,Summer,2003-01-01,2003,Unknown,,
Gunslinger Girl,TV,Manga,Marvelous,Action,Madhouse,13.0,Finished Airing,2003-10-09,2004-02-01,24 min per ep,R - 17+ (violence & profanity),7.5,57472,1662,702,135682,1040,Fall 2003,Unknown,24.0,10.95907055128778,11.818076561630345,6.947937068614969,Fall,2003-01-01,2003,Unknown,,
Hikaru no Go,TV,Manga,TV Tokyo,Comedy,Studio Pierrot,75.0,Finished Airing,2001-10-10,2003-03-02,23 min per ep,PG-13 - Teens 13 or older,8.16,41770,365,1054,89377,1883,Fall 2001,Unknown,23.0,10.639957597831893,11.400629845866534,7.5411524551363085,Fall,2001-01-01,2001,Unknown,,
Hunter x Hunter,TV,Manga,Fuji TV,Action,Nippon Animation,62.0,Finished Airing,1999-10-16,2001-03-03,23 min per ep,PG-13 - Teens 13 or older,8.47,126542,123,316,256505,6423,Fall 1999,Saturdays at 18:00 (JST),23.0,11.748337450338292,12.454907335132242,8.767796255626598,Fall,1999-01-01,1999,Saturdays,18:00:00,1080.0
Kannazuki no Miko,TV,Manga,Studio Fantasia,Supernatural,TNK,12.0,Finished Airing,2004-10-02,2004-12-01,24 min per ep,PG-13 - Teens 13 or older,6.98,22861,3736,1619,52235,714,Fall 2004,Unknown,24.0,10.037231422585723,10.863527191340298,6.5722825426940075,Fall,2004-01-01,2004,Unknown,,
Kanon,TV,Visual novel,Movic,Drama,Toei Animation,13.0,Finished Airing,2002-01-31,2002-03-02,24 min per ep,G - All Ages,7.2,20807,2861,1699,49004,245,Winter 2002,Unknown,24.0,9.943092807128487,10.799677612703281,5.5053315359323625,Winter,2002-01-01,2002,Unknown,,
Kareshi Kanojo no Jijou,TV,Manga,TV Tokyo,Comedy,Gainax,26.0,Finished Airing,1998-10-02,1999-03-02,24 min per ep,PG-13 - Teens 13 or older,7.64,50253,1261,727,131698,1611,Fall 1998,Fridays at 18:30 (JST),24.0,10.824845424743302,11.788274294688119,7.385230923066573,Fall,1998-01-01,1998,Fridays,18:30:00,1110.0
Kono Minikuku mo Utsukushii Sekai,TV,Original,Geneon Universal Entertainment,Sci-Fi,Gainax,12.0,Finished Airing,2004-04-02,2004-06-01,24 min per ep,R+ - Mild Nudity,6.85,23719,4209,1709,48458,171,Spring 2004,Fridays at 00:30 (JST),24.0,10.074073853111662,10.788473358581868,5.147494476813453,Spring,2004-01-01,2004,Fridays,00:30:00,30.0
Loveless,TV,Manga,Bandai Visual,Action,J.C.Staff,12.0,Finished Airing,2005-04-07,2005-06-03,24 min per ep,PG-13 - Teens 13 or older,7.08,52430,3358,942,103264,1589,Spring 2005,Unknown,24.0,10.867253298434472,11.54505377872175,7.371489295214277,Spring,2005-01-01,2005,Unknown,,
Blood+,TV,Original,Aniplex,Action,Production I.G,50.0,Finished Airing,2005-10-08,2006-09-02,24 min per ep,R - 17+ (violence & profanity),7.75,112413,982,302,265515,4222,Fall 2005,Saturdays at 18:00 (JST),24.0,11.629943763845521,12.489430381501833,8.348301054933943,Fall,2005-01-01,2005,Saturdays,18:00:00,1080.0
Solty Rei,TV,Original,AIC,Action,Gonzo,24.0,Finished Airing,2005-10-07,2006-03-03,23 min per ep,R - 17+ (violence & profanity),7.33,9430,2367,2732,22336,115,Fall 2005,Fridays at 02:40 (JST),23.0,9.151757414543885,10.013999775333557,4.7535901911063645,Fall,2005-01-01,2005,Fridays,02:40:00,160.0
Juuni Kokuki,TV,Novel,Sogo Vision,Action,Studio Pierrot,45.0,Finished Airing,2002-04-09,2003-08-03,25 min per ep,PG-13 - Teens 13 or older,8.12,30208,422,1060,88899,1985,Spring 2002,Unknown,25.0,10.315895172210867,11.395267421501996,7.593877844605118,Spring,2002-01-01,2002,Unknown,,
Shaman King,TV,Manga,TV Tokyo,Action,Xebec,64.0,Finished Airing,2001-07-04,2002-09-02,23 min per ep,PG-13 - Teens 13 or older,7.83,127151,852,366,230755,3011,Summer 2001,Wednesdays at 18:30 (JST),23.0,11.753138500179961,12.349116154193895,8.010359588919783,Summer,2001-01-01,2001,Wednesdays,18:30:00,1110.0
X,TV,Manga,Bandai Visual,Action,Madhouse,24.0,Finished Airing,2001-10-03,2002-03-02,24 min per ep,R+ - Mild Nudity,7.51,27469,1653,1468,60599,734,Fall 2001,Wednesdays at 18:30 (JST),24.0,10.220849779089319,11.012050172057405,6.5998704992128365,Fall,2001-01-01,2001,Wednesdays,18:30:00,1110.0
Mahou Sensei Negima!,TV,Manga,Starchild Records,Comedy,Xebec,26.0,Finished Airing,2005-01-06,2005-06-03,23 min per ep,PG-13 - Teens 13 or older,7.06,47384,3437,952,101540,572,Winter 2005,Thursdays at 01:00 (JST),23.0,10.766061001904296,11.528217936788522,6.35088571671474,Winter,2005-01-01,2005,Thursdays,01:00:00,60.0
Boukyaku no Senritsu,TV,Manga,Kadokawa Shoten,Adventure,Gainax,24.0,Finished Airing,2004-04-07,2004-09-02,23 min per ep,PG-13 - Teens 13 or older,6.39,4749,6225,3370,14738,44,Spring 2004,Wednesdays at 02:54 (JST),23.0,8.465899897028686,9.598252320836758,3.8066624897703196,Spring,2004-01-01,2004,Wednesdays,02:54:00,174.0
"Ima, Soko ni Iru Boku",TV,Original,Victor Entertainment,Adventure,AIC,13.0,Finished Airing,1999-10-14,2000-01-02,25 min per ep,R - 17+ (violence & profanity),7.73,26652,1038,1128,81980,838,Fall 1999,Thursdays at 19:00 (JST),25.0,10.190656993614896,11.314242792081028,6.732210706467206,Fall,1999-01-01,1999,Thursdays,19:00:00,1140.0
Peace Maker Kurogane,TV,Manga,GDH,Action,Gonzo,24.0,Finished Airing,2003-10-08,2004-03-02,24 min per ep,R - 17+ (violence & profanity),7.39,18076,2118,1876,42615,299,Fall 2003,Unknown,24.0,9.802395690974855,10.659985048596836,5.703782474656201,Fall,2003-01-01,2003,Unknown,,
